Outreach ID,Company ID,Company ,Visit Date,Notes,Outcome,Stage,Status,Next Visit Date,Days Since Last Visit,Next Visit Countdown,Outcome Category,Follow Up Action,Owner,Prospects Match,Contact Type,Email Sent,Competitor
LID-00618,CID-TOP101,Top Line Trailers,02/27/2026,Larry out at lunch. Gate closed on return.,No Answer,Outreach,Cold,03/02/2026,0,3,No Answer,Visit Monday,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00619,CID-CHA101,Chandler Air,02/27/2026,Owner gone. Decent scrap pile visible. Check back Monday.,Interested (Warm),Nurture,Interested (Warm),03/13/2026,0,14,Interested (Warm),Visit Monday,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00015,CID-EAG101,Eagle Steel Buildings,02/24/2026,Interested in switch from Tyler Iron; offered +$0.50 short/+$0.75 tin.,Interested (Hot),Nurture,Interested (Hot),03/03/2026,,7,Follow-Up,Close deal on pricing,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00017,CID-RUS101,Rusk County Co-op,02/24/2026,Matt not in; getting run around.,No Answer,Outreach,Cold,02/27/2026,,3,Follow-Up,Call back tomorrow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00018,CID-COX101,Cox Construction,02/24/2026,Box successfully delivered.,Account Won,Won,Won,02/24/2027,,365,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00034,CID-RUS103,Rusk County Co-op,02/24/2026,"Matt not in office, try again tomorrow",No Answer,Outreach,Cold,02/27/2026,0,3,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00035,CID-COX101,Cox Construction,02/24/2026,Successfully got his box delivered,Account Won,Won,Won,03/26/2026,0,30,Account Won,Follow up in 30 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00015,CID-EAG101,Eagle Steel Buildings,02/24/2026,Interested in switch from Tyler Iron; offered +$0.50 short/+$0.75 tin.,Interested (Hot),Nurture,Interested (Hot),03/03/2026,,7,Follow-Up,Close deal on pricing,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00016,CID-JAM102,James Wilder,02/24/2026,Referred by CSC Gutters; checking copper prices.,Initial Contact,Outreach,Interested (Warm),03/10/2026,,14,Follow-Up,Provide copper pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00032,CID-EAG102,Eagle Steel Buildings,02/24/2026,Currently with Tyler Iron. Offered $0.50 more on short iron and $0.75 more on tin.,Interested (Hot),Nurture,Interested (Hot),03/03/2026,0,7,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00033,CID-JAM105,James Wilder,02/24/2026,Checking prices on copper gutters.,Interested (Warm),Nurture,Interested (Warm),03/10/2026,0,14,Interested (Warm),Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00016,CID-JAM102,James Wilder,02/22/2026,Referred by CSC Gutters; checking copper prices.,Initial Contact,Outreach,Interested (Warm),03/10/2026,,14,Follow-Up,Provide copper pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00032,CID-EAG102,Eagle Steel Buildings,02/22/2026,Currently with Tyler Iron. Offered $0.50 more on short iron and $0.75 more on tin.,Interested (Hot),Nurture,Interested (Hot),03/03/2026,0,7,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00033,CID-JAM105,James Wilder,02/22/2026,Checking prices on copper gutters.,Interested (Warm),Nurture,Interested (Warm),03/10/2026,0,14,Interested (Warm),Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00021,CID-TDI104,Tdi,02/21/2026,"Person needed wasn't there, come back next week",Follow-Up,Nurture,Interested (Warm),03/05/2026,5,9,Follow-Up,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00005,CID-TUF101,Tuff Shed Tyler,02/21/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00006,CID-WIN104,Winslow's Custom Buildings,02/21/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00007,CID-PHI102,Phillips Steel Buildings LLC,02/21/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00008,CID-EAS119,East Texas Carports,02/21/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00009,CID-SAF102,"Safeguard Metal Buildings, Inc. Van Division",02/21/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00010,CID-GLE101,Glenwood Blind & Awning,02/20/2026,Spoke to Chris; eager for shop declutter roll-off.,Interested (Hot),Nurture,Interested (Hot),02/25/2026,,7,Follow-Up,Confirm delivery date,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00013,CID-COX101,Cox Construction,02/20/2026,"Has pile of scrap in Waskom, solid account",Interested (Hot),Nurture,Interested (Hot),02/25/2026,6,1,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00016,CID-GLE104,Glenwood Blind & Awning,02/20/2026,"Spoke to Chris, eager to get roll-off",Interested (Hot),Nurture,Interested (Hot),02/25/2026,6,1,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00006,CID-BRA101,Brake and Alignment,02/20/2026,Low volume (1 year to fill); disqualified.,Disqualified,Lost,Disqualified,02/17/2026,,0,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00007,CID-SCO101,Scotty and Sons,02/20/2026,Secured account; Tyler Iron bins removed.,Account Won,Won,Won,02/17/2027,,365,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00001,CID-THE116,The Steel Building Guy,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00002,CID-TEX119,Texas Metal Building Services,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00003,CID-AAA102,Aaa Metal Fabrication,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00004,CID-GRA102,Graceland Portable Buildings Tyler Texas,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00010,CID-RED105,Red Dot Buildings,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00011,CID-BRA104,Brake and Alignment,02/20/2026,Would take a year to fill up a roll-off container,Disqualified,Lost,Disqualified,,7,,Disqualified,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00012,CID-SCO101,Scotty and Sons,02/20/2026,Secured an account with them and they told Tyler Iron to come pick up their containers,Account Won,Won,Won,03/19/2026,7,23,Account Won,Follow up in 30 days,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00001,CID-THE116,The Steel Building Guy,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00002,CID-TEX119,Texas Metal Building Services,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00003,CID-AAA102,Aaa Metal Fabrication,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00004,CID-GRA102,Graceland Portable Buildings Tyler Texas,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00005,CID-TUF101,Tuff Shed Tyler,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00006,CID-WIN104,Winslow's Custom Buildings,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00007,CID-PHI102,Phillips Steel Buildings LLC,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00008,CID-EAS119,East Texas Carports,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00009,CID-SAF102,"Safeguard Metal Buildings, Inc. Van Division",02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00010,CID-RED105,Red Dot Buildings,02/20/2026,"Initial outreach sent out, plan on calling them this week",Initial Contact,Outreach,Interested (Warm),03/03/2026,7,7,Initial Contact,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00013,CID-TUN101,Tune Up Express,02/19/2026,Low volume; guy from Dallas buys it occasionally.,Disqualified,Lost,Disqualified,02/19/2026,,0,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,Other
LID-00014,CID-TDI101,Tdi,02/19/2026,Decision maker not in; return next week mid-morning.,No Answer,Outreach,Cold,02/22/2026,,3,Follow-Up,Visit mid-morning next week,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00019,CID-TUN101,Tune Up Express,02/19/2026,Scrap guy from Dallas buys it. Not much scrap.,Disqualified,Lost,Disqualified,,5,,Disqualified,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00020,CID-TYL142,Tyler Muffler Shop,02/19/2026,Takes cars to Dallas to scrap. Has not gotten back.,No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00022,CID-APA101,"Apache Construction, Inc.",02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00023,CID-ULR101,Ulrich Lifestyle Structures - Retail Design Center,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00024,CID-THE111,The Home Depot,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00025,CID-EAS120,East Texas Metal Buildings LLC,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00026,CID-THE114,The Phunny Farm Metal Buildings and More,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00027,CID-MAX102,Max Metal Buildings,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00028,CID-SUP105,Superior Buildings and Carports,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00029,CID-KEV101,Kevin's Portable Buildings,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00030,CID-LON110,Lonestar Sheds LLC,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00031,CID-LON106,Lonestar Sheds,02/19/2026,"Reached out via email, no response",No Answer,Outreach,Cold,02/22/2026,5,-2,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00021,CID-TDI104,Tdi,02/19/2026,"Person needed wasn't there, come back next week",Follow-Up,Nurture,Interested (Warm),03/05/2026,5,9,Follow-Up,Follow up in 14 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00009,CID-JAM101,James Malone,02/18/2026,Mechanic; low volume; will refer others.,Disqualified,Lost,Disqualified,02/18/2026,,0,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00011,CID-CSC101,Csc Gutters,02/18/2026,Chris Cronin dropped 1500 lbs at Madfos.,Account Won,Won,Won,02/18/2027,,365,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00012,CID-BRA102,Braze Tech,02/18/2026,Coordinated 20yd box delivery around strict 4:30pm schedule.,Account Won,Won,Won,02/18/2027,,365,Closed,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00014,CID-JAM104,James Malone,02/18/2026,"Mechanic, does not produce enough scrap",Disqualified,Lost,Disqualified,,6,,Disqualified,None,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00015,CID-BRI101,Brian Ellison,02/18/2026,"Number had changed, need to get back to him for RV park",No Answer,Outreach,Cold,02/21/2026,6,-3,No Answer,Follow up in 3 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00017,CID-CSC102,Csc Gutters,02/18/2026,"Stopped by Madfos with 1,500 pounds of gutters. Win",Account Won,Won,Won,03/20/2026,6,24,Account Won,Follow up in 30 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00018,CID-BRA102,Braze Tech,02/18/2026,Coordinated drop off of 20 yard container for barrels of scrap.,Account Won,Won,Won,03/20/2026,6,24,Account Won,Follow up in 30 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00008,CID-COX101,Cox Construction,02/18/2026,Constant contact; has pile ready in Waskom; high potential.,Interested (Hot),Nurture,Interested (Hot),02/25/2026,,7,Follow-Up,Schedule delivery,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00010,CID-GLE101,Glenwood Blind & Awning,02/18/2026,Spoke to Chris; eager for shop declutter roll-off.,Interested (Hot),Nurture,Interested (Hot),02/25/2026,,7,Follow-Up,Confirm delivery date,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00013,CID-COX101,Cox Construction,02/18/2026,"Has pile of scrap in Waskom, solid account",Interested (Hot),Nurture,Interested (Hot),02/25/2026,6,1,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00016,CID-GLE104,Glenwood Blind & Awning,02/18/2026,"Spoke to Chris, eager to get roll-off",Interested (Hot),Nurture,Interested (Hot),02/25/2026,6,1,Interested (Hot),Follow up in 7 days,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00001,CID-G&C101,G&c Gutters,02/16/2026,Residential address; city won't allow roll-off; owner trying to find workaround.,Initial Contact,Outreach,Interested (Warm),03/18/2026,,30,Follow-Up,Check for location solution,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00002,CID-DRA101,Dragonslayer Industries,02/16/2026,Reported it would take a year to fill up a container.,Disqualified,Lost,Disqualified,02/16/2026,,0,Closed,None,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00003,CID-LMC101,Lmc Fab,02/16/2026,Long standing relationship with scrap yard in Longview.,Not Interested,Lost,Disqualified,08/15/2026,,180,Competitor,Nurture in 6 months,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-00004,CID-LON101,Lonstar Sheds,02/16/2026,Corporate approval secured; branches (Emory Commerce Eustace) produce low volume.,Initial Contact,Outreach,Interested (Warm),03/18/2026,,30,Follow-Up,Monitor for volume changes,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00005,CID-SCO101,Scotty and Sons,02/16/2026,Truck repair shop; owner needs to clean area to replace Tyler Iron bins.,Interested (Hot),Nurture,Interested (Hot),02/23/2026,,7,Follow-Up,Prep for box delivery,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00001,CID-G&C101,G&c Gutters,02/16/2026,Residential address; city won't allow roll-off; owner trying to find workaround.,Initial Contact,Outreach,Interested (Warm),03/18/2026,,30,Follow-Up,Check for location solution,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00004,CID-LON101,Lonstar Sheds,02/16/2026,Corporate approval secured; branches (Emory Commerce Eustace) produce low volume.,Initial Contact,Outreach,Interested (Warm),03/18/2026,,30,Follow-Up,Monitor for volume changes,Kyle Buzbee,TRUE,Email,TRUE,None
LID-00005,CID-SCO101,Scotty and Sons,02/16/2026,Truck repair shop; owner needs to clean area to replace Tyler Iron bins.,Interested (Hot),Nurture,Interested (Hot),02/23/2026,,7,Follow-Up,Prep for box delivery,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00001,CID-CSC102,Csc Seamless Gutters,02/13/2026,"This is not necessarily a win in terms of him needing a roll off container. But from me reaching out to him he is bringing us 1,500 pounds of al painted siding on monday",Account Won,Won,Active,02/13/2026,0,0,Account Won,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-01056,CID-IRO101,Iron King Construction,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01057,CID-SMI101,Smith-fab Custom Steel Buildings,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01058,CID-PAC101,Pac-clad | Petersen,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01059,CID-JBC101,Jb Construction & Welding,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01060,CID-EAS101,East Texas Roof Works & Sheet Metal,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01061,CID-LAN101,Landmark Roofing & Sheet Metal,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01062,CID-ETX101,Etx Steel - Tyler,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01064,CID-FOR101,Fortis Specialty Services,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,FALSE,Email,TRUE,Other
LID-01065,CID-K5W101,K5 Welding & Fabrication,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01066,CID-WIN101,Winslows Custom Buildings,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01067,CID-TEX101,Texas Metal Building Services,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01068,CID-IRO102,Irongate Roofing and Sheet Metal,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-01069,CID-MUE101,Mueller,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,FALSE,Email,TRUE,Other
LID-01070,CID-PAN101,Panther Fabrication,02/12/2026,Initial outreach email sent.,Initial Contact,Outreach,Interested (Warm),02/26/2026,0,14,Initial Contact,General Follow Up,Kyle Buzbee,TRUE,Email,TRUE,Other
